"Part";"Value";"Device";"Package";"Description";"COMPANY-URL";"CREATED-BY";"CREATED-DATE";"DATASHEET-URL";"IR";"MANUFACTURER";"MF";"MOUNT";"MPN";"OC_FARNELL";"OC_NEWARK";"PART-NUMBER";"PRATED";"TCR";"TECHNICAL-REFERENCE";"VALUE";"WE-NUMBER";
"CINB1";"1.2µH";"WCAP-FTXX_890334027025";"WCAP-FTXX_27.5X31X29X15.5";"WCAP-FTXX Film Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"CINB2";"3.3µF";"WCAP-FTXX_890334027025";"WCAP-FTXX_27.5X31X29X15.5";"WCAP-FTXX Film Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"CINB3";"3.3µF";"WCAP-FTXX_890334027025";"WCAP-FTXX_27.5X31X29X15.5";"WCAP-FTXX Film Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"CINT1";"1.2µF";"WCAP-FTXX_890334027025";"WCAP-FTXX_27.5X31X29X15.5";"WCAP-FTXX Film Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"CINT2";"3.3µF";"WCAP-FTXX_890334027025";"WCAP-FTXX_27.5X31X29X15.5";"WCAP-FTXX Film Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"CINT3";"3.3µH";"WCAP-FTXX_890334027025";"WCAP-FTXX_27.5X31X29X15.5";"WCAP-FTXX Film Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"COB1";"82nF/FTXX/X2-250VAC";"WCAP-FTXX_890334023019";"WCAP-FTXX_10X13X13X7";"WCAP-FTXX Film Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"COB2";"82nF/FTXX/X2-250VAC";"WCAP-FTXX_890334023019";"WCAP-FTXX_10X13X13X7";"WCAP-FTXX Film Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"COB3";"82nF/FTXX/X2-250VAC";"WCAP-FTXX_890334023019";"WCAP-FTXX_10X13X13X7";"WCAP-FTXX Film Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"COT1";"82nF/FTXX/X2-250VAC";"WCAP-FTXX_890334023019";"WCAP-FTXX_10X13X13X7";"WCAP-FTXX Film Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"COT2";"82nF/FTXX/X2-250VAC";"WCAP-FTXX_890334023019";"WCAP-FTXX_10X13X13X7";"WCAP-FTXX Film Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"COT3";"82nF/FTXX/X2-250VAC";"WCAP-FTXX_890334023019";"WCAP-FTXX_10X13X13X7";"WCAP-FTXX Film Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D1";"ULC";"WE-VE_ULC_0603_82306050029";"WE-VE_ULC_0603";"WE-VE ULC ESD Suppressor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D2";"ULC";"WE-VE_ULC_0603_82306050029";"WE-VE_ULC_0603";"WE-VE ULC ESD Suppressor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"E1";"";"WP-PLUG_7464000";"PLUG";"REDCUBE Plug Terminal WP-PLUG";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"E2";"";"WP-PLUG_7464000";"PLUG";"REDCUBE Plug Terminal WP-PLUG";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"E3";"";"WP-PLUG_7464000";"PLUG";"REDCUBE Plug Terminal WP-PLUG";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"E4";"";"WP-PLUG_7464000";"PLUG";"REDCUBE Plug Terminal WP-PLUG";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L1";"10µH";"WE-HCC_1210_7443321000";"WE-HCC_1210";"SMD High Current Cube Inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7443321000/10uH";
"L2";"10µH";"WE-HCC_1210_7443321000";"WE-HCC_1210";"SMD High Current Cube Inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7443321000/10uH";
"L3";"10µH";"WE-HCC_1210_7443321000";"WE-HCC_1210";"SMD High Current Cube Inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7443321000/10uH";
"L4";"10µH";"WE-HCC_1210_7443321000";"WE-HCC_1210";"SMD High Current Cube Inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7443321000/10uH";
"L5";"10µH";"WE-HCC_1210_7443321000";"WE-HCC_1210";"SMD High Current Cube Inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7443321000/10uH";
"L6";"10µH";"WE-HCC_1210_7443321000";"WE-HCC_1210";"SMD High Current Cube Inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7443321000/10uH";
"L7";"10µH";"WE-HCC_1210_7443321000";"WE-HCC_1210";"SMD High Current Cube Inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7443321000/10uH";
"L8";"10µH";"WE-HCC_1210_7443321000";"WE-HCC_1210";"SMD High Current Cube Inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7443321000/10uH";
"L9";"10µH";"WE-HCC_1210_7443321000";"WE-HCC_1210";"SMD High Current Cube Inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7443321000/10uH";
"L10";"10µH";"WE-HCC_1210_7443321000";"WE-HCC_1210";"SMD High Current Cube Inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7443321000/10uH";
"R7";"MELF207/100R/1%";"R-EU_MELF0207R";"MINI_MELF-0207R";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R8";"MELF207/100R/1%";"R-EU_MELF0207R";"MINI_MELF-0207R";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R9";"MELF207/100R/1%";"R-EU_MELF0207R";"MINI_MELF-0207R";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R10";"MELF207/100R/1%";"R-EU_MELF0207R";"MINI_MELF-0207R";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R11";"MELF207/100R/1%";"R-EU_MELF0207R";"MINI_MELF-0207R";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R12";"MELF207/100R/1%";"R-EU_MELF0207R";"MINI_MELF-0207R";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R13";"MELF207/100R/1%";"R-EU_MELF0207R";"MINI_MELF-0207R";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R14";"MELF207/100R/1%";"R-EU_MELF0207R";"MINI_MELF-0207R";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R15";"MELF207/100R/1%";"R-EU_MELF0207R";"MINI_MELF-0207R";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R16";"MELF207/100R/1%";"R-EU_MELF0207R";"MINI_MELF-0207R";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"RB1";"5.1Ohm";"WRIS-KWKB_1225_561020163017";"WRIS-KWKB_1225";"WRIS-KWKB Thick Film Resistors";"";"";"";"https://katalog.we-online.de/pbs/datasheet/561020163017.pdf";"626.2mA";"";"";"SMT";"";"";"";" 561020163017 ";"2W";"±200ppm/ °C";"KB12255R10F201DAATE0000";"5.1Ohm";"";
"RB2";"5.1Ohm";"WRIS-KWKB_1225_561020163017";"WRIS-KWKB_1225";"WRIS-KWKB Thick Film Resistors";"";"";"";"https://katalog.we-online.de/pbs/datasheet/561020163017.pdf";"626.2mA";"";"";"SMT";"";"";"";" 561020163017 ";"2W";"±200ppm/ °C";"KB12255R10F201DAATE0000";"5.1Ohm";"";
"RB3";"5.1Ohm";"WRIS-KWKB_1225_561020163017";"WRIS-KWKB_1225";"WRIS-KWKB Thick Film Resistors";"";"";"";"https://katalog.we-online.de/pbs/datasheet/561020163017.pdf";"626.2mA";"";"";"SMT";"";"";"";" 561020163017 ";"2W";"±200ppm/ °C";"KB12255R10F201DAATE0000";"5.1Ohm";"";
"RB4";"5.1Ohm";"WRIS-KWKB_1225_561020163017";"WRIS-KWKB_1225";"WRIS-KWKB Thick Film Resistors";"";"";"";"https://katalog.we-online.de/pbs/datasheet/561020163017.pdf";"626.2mA";"";"";"SMT";"";"";"";" 561020163017 ";"2W";"±200ppm/ °C";"KB12255R10F201DAATE0000";"5.1Ohm";"";
"RLB";"1k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"RLT";"1k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"RT1";"5.1Ohm";"WRIS-KWKB_1225_561020163017";"WRIS-KWKB_1225";"WRIS-KWKB Thick Film Resistors";"";"";"";"https://katalog.we-online.de/pbs/datasheet/561020163017.pdf";"626.2mA";"";"";"SMT";"";"";"";" 561020163017 ";"2W";"±200ppm/ °C";"KB12255R10F201DAATE0000";"5.1Ohm";"";
"RT2";"5.1Ohm";"WRIS-KWKB_1225_561020163017";"WRIS-KWKB_1225";"WRIS-KWKB Thick Film Resistors";"";"";"";"https://katalog.we-online.de/pbs/datasheet/561020163017.pdf";"626.2mA";"";"";"SMT";"";"";"";" 561020163017 ";"2W";"±200ppm/ °C";"KB12255R10F201DAATE0000";"5.1Ohm";"";
"RT3";"5.1Ohm";"WRIS-KWKB_1225_561020163017";"WRIS-KWKB_1225";"WRIS-KWKB Thick Film Resistors";"";"";"";"https://katalog.we-online.de/pbs/datasheet/561020163017.pdf";"626.2mA";"";"";"SMT";"";"";"";" 561020163017 ";"2W";"±200ppm/ °C";"KB12255R10F201DAATE0000";"5.1Ohm";"";
"RT4";"5.1Ohm";"WRIS-KWKB_1225_561020163017";"WRIS-KWKB_1225";"WRIS-KWKB Thick Film Resistors";"";"";"";"https://katalog.we-online.de/pbs/datasheet/561020163017.pdf";"626.2mA";"";"";"SMT";"";"";"";" 561020163017 ";"2W";"±200ppm/ °C";"KB12255R10F201DAATE0000";"5.1Ohm";"";
"RV1";"WE-VD_14MM,820443501";"WE-VD_14MM,820443501";"WE-VD_14MM-0.9";"WE-VD Disk Varistor";"http://www.we-online.de";"Christin Zierenner";"May 2012";"http://katalog.we-online.de/kataloge/eisos/index.php?language=en&pf=WE-VD";"";"Würth Elektronik eiSos GmbH";"";"";"";"";"";"";"";"";"";"";"";
"RV2";"WE-VD_14MM,820443501";"WE-VD_14MM,820443501";"WE-VD_14MM-0.9";"WE-VD Disk Varistor";"http://www.we-online.de";"Christin Zierenner";"May 2012";"http://katalog.we-online.de/kataloge/eisos/index.php?language=en&pf=WE-VD";"";"Würth Elektronik eiSos GmbH";"";"";"";"";"";"";"";"";"";"";"";
"X-GRP";"";"WP-THRSH_74651175(R)";"THRXU_1.85_4PINS_7X7";"REDCUBE THR Terminal with external thread WP-THRSH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X-PE";"";"WP-THRSH_74651175(R)";"THRXU_1.85_4PINS_7X7";"REDCUBE THR Terminal with external thread WP-THRSH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X1";"LTI-SASF54GT";"LTI-SASF54GT";"LTI-SASF54GT";"SMA vertical PCB thrue hole jack";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";"";
"X2";"LTI-SASF54GT";"LTI-SASF54GT";"LTI-SASF54GT";"SMA vertical PCB thrue hole jack";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";"";
